"FIDE_ID","FullName","Master","FIDEName","Fed","Sex","Tit","WTit","OTit","FOA","SRtng","SGm","SK","RRtng","RGm","Rk","BRtng","BGm","BK","B-day","Flag","Country"
"2008564","Gregory Kaidanov","Kaidanov, G","Kaidanov, Gregory","USA","M","GM",NA,NA,NA,2563,0,10,NA,NA,NA,2547,0,10,1959,NA,"United States of America"
"2000024","Gata Kamsky","Kamsky, G","Kamsky, Gata","USA","M","GM",NA,NA,NA,2655,10,10,2630,0,10,2660,0,10,1974,NA,"United States of America"
"14109603","Sergey Karjakin","Karjakin, S","Karjakin, Sergey","RUS","M","GM",NA,NA,NA,2750,0,10,2739,0,10,2647,0,10,1990,NA,"Russia"
"4100026","Anatoly Karpov","Karpov, A","Karpov, Anatoly","RUS","M","GM",NA,NA,NA,2617,0,10,2583,0,10,2627,0,10,1951,"i","Russia"
"14200244","Rustam Kasimdzhanov","Kasimdzhanov, R","Kasimdzhanov, Rustam","UZB","M","GM",NA,NA,NA,2673,0,10,2648,0,10,2586,0,10,1979,NA,"Uzbekistan"
"4100018","Garry Kasparov","Kasparov, G","Kasparov, Garry","RUS","M","GM",NA,NA,NA,2812,0,10,2783,0,10,2712,0,10,1963,"i","Russia"
NA,"Lubomir Kavalek","Kavalek, L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Paul Keres","Keres, P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4100115","Alexander Khalifman","Khalifman, A","Khalifman, Alexander","RUS","M","GM",NA,NA,NA,2608,0,10,2522,0,10,NA,NA,NA,1966,"i","Russia"
NA,"Ratmir Kholmov","Kholmov, R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5008123","Koneru Humpy","Koneru, H","Koneru, Humpy","IND","F","GM","WGM",NA,NA,2553,4,10,2469,0,10,2463,0,10,1987,"w","India"
"14105730","Viktor Korchnoi","Korobov, A","Korobov, Anton","UKR","M","GM",NA,NA,NA,2667,10,10,2634,0,10,2638,0,10,1985,NA,"Ukraine"
NA,"Anton Korobov","Kortschnoj, V",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4128125","Alexandra Kosteniuk","Kosteniuk, A","Kosteniuk, Alexandra","SUI","F","GM","WGM",NA,NA,2532,9,10,2524,0,10,2450,0,10,1984,"w","Switzerland"
"24145602","Alexander Kotov","Kotov, A","Kotov, Alexander","RUS","M",NA,NA,NA,NA,2171,0,20,NA,NA,NA,2071,0,20,1959,"i","Russia"
"4101588","Vladimir Kramnik","Kramnik, V","Kramnik, Vladimir","RUS","M","GM",NA,NA,NA,2753,0,10,2739,0,10,2703,0,10,1975,"i","Russia"
"1113100","Michal Krasenkow","Krasenkow, M","Krasenkow, Michal","POL","M","GM",NA,NA,NA,2524,9,10,2443,11,10,2406,11,10,1963,NA,"Poland"
"2012782","Irina Krush","Krush, I","Krush, Irina","USA","F","GM","WGM",NA,NA,2447,9,10,2400,0,10,2367,0,10,1983,"w","United States of America"
"2000164","Sergey Kudrin","Kudrin, S","Kudrin, Sergey","USA","M","GM",NA,NA,NA,2345,0,10,NA,NA,NA,NA,NA,NA,1959,NA,"United States of America"
NA,"Kateryna Lahno","Lahno, K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Bent Larsen","Larsen, B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Emanuel Lasker","Lasker, E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"600016","Joel Lautier","Lautier, J","Lautier, Joel","FRA","M","GM",NA,NA,NA,2658,0,10,NA,NA,NA,NA,NA,NA,1973,"i","France"
NA,"Le Quang Liem","Le Quang Liem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"703303","Peter Leko","Leko, P","Leko, Peter","HUN","M","GM",NA,NA,NA,2666,0,10,2710,0,10,2738,0,10,1979,NA,"Hungary"
NA,"Grigory Levenfish","Levenfish, G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8604436","Li Chao","Li Chao","Li, Chao b","CHN","M","GM",NA,NA,NA,2652,10,10,2631,0,10,2693,0,10,1989,NA,"China"
NA,"Andre Lilienthal","Lilienthal, A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"900010","Ljubomir Ljubojevic","Ljubojevic, L","Ljubojevic, Ljubomir","SRB","M","GM",NA,NA,NA,2571,0,10,2471,0,10,2504,0,10,1950,"i","Serbia"
"13300024","Smbat Lputian","Lputian, S","Lputian, Smbat G","ARM","M","GM",NA,NA,NA,2574,0,10,NA,NA,NA,NA,NA,NA,1958,"i","Armenia"
NA,"George MacKenzie","Mackenzie, G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4120787","Vladimir Malakhov","Malakhov, V","Malakhov, Vladimir","FID","M","GM",NA,NA,NA,2646,0,10,2666,0,10,2652,0,10,1980,NA,"FIDE"
"13401319","Shakhriyar Mamedyarov","Mamedyarov, S","Mamedyarov, Shakhriyar","AZE","M","GM",NA,NA,NA,2742,9,10,2694,0,10,2722,0,10,1985,NA,"Azerbaijan"
NA,"Geza Maroczy","Maroczy, G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Frank Marshall","Marshall, F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Alexander McDonnell","McDonnell, A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404853","Luke McShane","McShane, L","McShane, Luke J","ENG","M","GM",NA,NA,NA,2626,0,10,2702,0,10,2583,0,10,1984,NA,"England"
"2100010","Henrique Mecking","Mecking, H","Mecking, Henrique","BRA","M","GM",NA,NA,NA,2553,0,10,2585,0,10,2587,0,10,1952,"i","Brazil"
NA,"Vladas Mikenas","Mikenas, V",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Anthony Miles","Miles, A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1304364","Vadim Milov","Milov, V","Milov, Vadim","SUI","M","GM",NA,NA,NA,2604,0,10,2632,0,10,2519,0,10,1972,NA,"Switzerland"
"4116992","Alexander Morozevich","Morozevich, A","Morozevich, Alexander","RUS","M","GM",NA,NA,NA,2659,0,10,2651,0,10,2611,0,10,1977,"i","Russia"
